"DATASET SUELO INTELIGENTE + NASA POWER — SOCONUSCO, CHIAPAS  |  3,000 lecturas  |  25 parcelas  |  2015-2024",,,,,,,,,,,,,,,,,,,,,,,,,
"ID
Parcela",Cultivo,Municipio,Año,Mes,"Num
Mes","T
Total",pH,"Humedad
%","N
ppm","P
ppm","K
ppm","CE
dS/m","Temp
°C","Aplic.
N","Aplic.
P","Aplic.
K",Encal.,Estado,"NASA
T2M °C","NASA
RH2M %","NASA
Prec
mm/día","NASA
GWET
suelo",Lat,Lon,
P001,Cacao,Tapachula,2016,Jun,6,17,6.12,84.7,26.6,17.9,155.9,1.29,26.8,0,0,0,0,Óptimo,27.4,80.4,7.77,0.847,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Jul,7,18,6.1,85.9,37.1,18.2,165,1.27,26,8,0,6,0,Óptimo,27.1,86.7,7.78,0.859,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Ago,8,19,6.15,88.8,29.8,19,154.5,1.25,26,0,0,0,0,Precaución,26.9,82.2,7.44,0.888,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Sep,9,20,6.08,89.3,31.5,17,165.3,1.23,26.1,0,0,0,0,Precaución,26.5,88.3,9.49,0.893,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Oct,10,21,6.08,84,30,18.3,160.5,1.29,26.1,0,0,0,0,Óptimo,26.4,84.2,7.01,0.84,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Nov,11,22,6.09,63,29.6,17.9,162.5,1.25,26.1,0,0,0,0,Óptimo,27,83.2,2.58,0.63,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Dic,12,23,6.09,46.5,29.7,17,153.8,1.3,26,0,0,0,0,Óptimo,26.8,76.8,1.42,0.465,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Ene,1,24,6.27,41.2,36.8,20.6,161.1,1.27,26.2,8,4,6,0.15,Óptimo,26.5,76.9,0.84,0.412,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Feb,2,25,6.08,37.2,30.6,15.5,159.8,1.3,26.8,0,0,0,0,Óptimo,27.1,73.7,0.45,0.372,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Mar,3,26,6.07,38.6,31.4,18,151.7,1.37,28.4,0,0,0,0,Óptimo,28.3,67.8,0.83,0.386,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Abr,4,27,6.05,37.7,30.4,17,161.6,1.36,28.7,0,0,0,0,Óptimo,29.3,73.7,0,0.377,14.9,-92.27,97
P001,Cacao,Tapachula,2017,May,5,28,6.04,70.5,30.2,16.8,163.8,1.3,28.2,0,0,0,0,Óptimo,29.3,81.7,3.64,0.705,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Jun,6,29,6.01,87.5,29,17.4,158.7,1.34,27.4,0,0,0,0,Óptimo,27.6,83.3,9.05,0.875,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Jul,7,30,5.92,83,37.4,17.7,171.1,1.35,26.6,8,0,6,0,Precaución,26.6,84.1,7.97,0.83,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Ago,8,31,6.05,85.6,29.5,16.7,170.8,1.32,26.5,0,0,0,0,Óptimo,27.1,83.6,8.17,0.856,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Sep,9,32,6.13,86.5,28.6,18.4,161.8,1.32,26,0,0,0,0,Óptimo,26.9,86.9,9.35,0.865,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Oct,10,33,6,83.2,29.5,17.9,156,1.35,26.1,0,0,0,0,Óptimo,26.7,86.8,7.4,0.832,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Nov,11,34,6.01,71.7,31.6,16.9,155.2,1.37,26.2,0,0,0,0,Óptimo,27.1,84.2,2.74,0.717,14.9,-92.27,97
P001,Cacao,Tapachula,2017,Dic,12,35,5.99,47.8,29.7,17.4,166.1,1.33,26.1,0,0,0,0,Precaución,26.2,76.2,1.42,0.478,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Ene,1,36,6.01,42.9,38.1,21.2,168.3,1.37,26.4,8,4,6,0,Óptimo,26.9,74.1,0.29,0.429,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Feb,2,37,5.98,37.1,30.3,17.1,162.2,1.26,27,0,0,0,0,Precaución,27.2,70.5,0.11,0.371,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Mar,3,38,5.96,31.9,30.5,17,162.8,1.28,27.7,0,0,0,0,Precaución,28.6,71.4,0.37,0.319,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Abr,4,39,5.99,44.6,29.2,17.7,159.2,1.3,28.7,0,0,0,0,Precaución,28.9,72.2,0.65,0.446,14.9,-92.27,97
P001,Cacao,Tapachula,2018,May,5,40,5.99,71.7,27,17.2,165.5,1.37,27.8,0,0,0,0,Precaución,28.8,80.9,4.17,0.717,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Jun,6,41,6.04,88.7,31.1,16.8,157.1,1.32,27,0,0,0,0,Precaución,27,85.2,9.36,0.887,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Jul,7,42,5.96,85.4,36.6,17.4,156.6,1.36,26.7,8,0,6,0,Precaución,26.9,89.3,7.68,0.854,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Ago,8,43,5.88,84.9,29,17.7,161.2,1.37,26.7,0,0,0,0,Precaución,26.4,87.6,7.7,0.849,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Sep,9,44,5.96,89.6,29.6,16.2,156.9,1.39,25.4,0,0,0,0,Precaución,26.4,89,9.05,0.896,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Oct,10,45,5.96,82.6,28.7,15.9,148.1,1.42,26.2,0,0,0,0,Precaución,26.4,88.2,6.99,0.826,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Nov,11,46,5.89,60.9,25.4,17.1,157.3,1.42,26.4,0,0,0,0,Precaución,26.5,83.5,1.97,0.609,14.9,-92.27,97
P001,Cacao,Tapachula,2018,Dic,12,47,5.94,54.1,32.9,17.5,161.7,1.43,26.2,0,0,0,0,Precaución,26,75.3,0.96,0.541,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Ene,1,48,6.06,46.3,36.9,22.5,164.9,1.38,25.9,8,4,6,0.15,Óptimo,27.1,74.7,0.07,0.463,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Feb,2,49,5.92,38.7,29.9,16,158.9,1.38,26.9,0,0,0,0,Precaución,27.7,69.2,0.3,0.387,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Mar,3,50,5.93,34.1,28.1,17.1,158.4,1.44,27.9,0,0,0,0,Precaución,28.3,66.7,0,0.341,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Abr,4,51,5.91,38.2,29.8,16.9,152.7,1.43,29.1,0,0,0,0,Precaución,29.2,72.1,0.77,0.382,14.9,-92.27,97
P001,Cacao,Tapachula,2019,May,5,52,5.92,68.9,28.4,16.9,159.9,1.39,28.3,0,0,0,0,Precaución,29,78.5,4.06,0.689,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Jun,6,53,5.86,86.2,31.6,18.7,155.8,1.45,27,0,0,0,0,Precaución,27.1,83.2,8.02,0.862,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Jul,7,54,5.85,75.9,36.3,16.8,157.2,1.41,26.4,8,0,6,0,Precaución,26.3,84.1,7.04,0.759,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Ago,8,55,5.79,85,28.5,15.6,156.1,1.44,26.5,0,0,0,0,Precaución,26.7,84.6,7.55,0.85,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Sep,9,56,5.87,85.8,28.2,17.1,161,1.43,26.2,0,0,0,0,Precaución,26.8,89.9,9.02,0.858,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Oct,10,57,5.82,81.4,27,16.9,167.7,1.46,26.1,0,0,0,0,Precaución,26.8,82.9,8.05,0.814,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Nov,11,58,5.86,63.7,29.9,17.8,162.9,1.41,26.4,0,0,0,0,Precaución,26.5,84.8,2.4,0.637,14.9,-92.27,97
P001,Cacao,Tapachula,2019,Dic,12,59,5.94,42.7,31.3,16.2,153,1.48,25.9,0,0,0,0,Precaución,27.3,75.1,0.94,0.427,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Ene,1,60,5.86,44,38.3,19.8,169.8,1.39,26,8,4,6,0,Precaución,26.6,72.9,0.34,0.44,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Feb,2,61,5.88,38,25.4,17.9,163.9,1.48,26.8,0,0,0,0,Precaución,28,72.4,1.02,0.38,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Mar,3,62,5.84,33.7,25.6,18.3,161.7,1.43,28.3,0,0,0,0,Precaución,28.6,75,0,0.337,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Abr,4,63,5.84,36.4,28.1,17.4,159.4,1.49,28.7,0,0,0,0,Precaución,28.2,68.3,0.82,0.364,14.9,-92.27,97
P001,Cacao,Tapachula,2020,May,5,64,5.82,65.9,30.5,17,152.3,1.47,28.6,0,0,0,0,Precaución,28.6,83,3.33,0.659,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Jun,6,65,5.83,86.5,26.8,16.7,162.2,1.51,26.8,0,0,0,0,Precaución,27.4,86.5,8.15,0.865,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Jul,7,66,5.84,79.3,38,16.6,162.4,1.46,26.7,8,0,6,0,Precaución,26.5,87.8,7.55,0.793,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Ago,8,67,5.82,83.1,28.8,17.8,168.2,1.46,27.1,0,0,0,0,Precaución,27.4,84.4,8.09,0.831,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Sep,9,68,5.78,86.9,28.6,16.7,162.5,1.4,26.2,0,0,0,0,Precaución,26.3,90.4,8.56,0.869,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Oct,10,69,5.79,84.2,31,15.9,153.8,1.5,26.5,0,0,0,0,Precaución,27.1,85.2,7.56,0.842,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Nov,11,70,5.86,67.2,31.2,16.8,160.4,1.44,25.9,0,0,0,0,Precaución,27,81.8,1.94,0.672,14.9,-92.27,97
P001,Cacao,Tapachula,2020,Dic,12,71,5.82,51.4,29,16.3,156.3,1.51,26.2,0,0,0,0,Precaución,25.6,76.4,0.18,0.514,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Ene,1,72,5.96,40.8,38.4,21.5,166.8,1.51,26.6,8,4,6,0.15,Precaución,26.8,74.1,0.91,0.408,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Feb,2,73,5.82,36.5,28.5,17.3,155.4,1.47,27.4,0,0,0,0,Precaución,28.3,69.8,0.52,0.365,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Mar,3,74,5.81,32.7,29.6,16.2,159.3,1.48,27.8,0,0,0,0,Precaución,29.4,69.2,0.1,0.327,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Abr,4,75,5.67,36.1,28.8,17.4,155.8,1.53,28.4,0,0,0,0,Precaución,28.7,69,0.24,0.361,14.9,-92.27,97
P001,Cacao,Tapachula,2021,May,5,76,5.79,68.2,30.8,17.9,164.4,1.46,28.3,0,0,0,0,Precaución,29,75.9,4.87,0.682,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Jun,6,77,5.79,86.6,31.2,16.7,155.3,1.45,27.3,0,0,0,0,Precaución,27.6,85.1,7,0.866,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Jul,7,78,5.73,82.5,35.9,16.5,164.3,1.47,26.7,8,0,6,0,Precaución,27.7,89.3,7.19,0.825,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Ago,8,79,5.79,81.6,28.5,17.6,166.9,1.56,26.6,0,0,0,0,Precaución,26.9,86.9,7.3,0.816,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Sep,9,80,5.75,85.6,27.3,17,163.8,1.5,26.4,0,0,0,0,Precaución,25.8,87.9,10.07,0.856,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Oct,10,81,5.72,81,28.2,18,164.1,1.58,26.4,0,0,0,0,Precaución,26.9,84.2,6.73,0.81,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Nov,11,82,5.7,64,29.1,16.2,160.9,1.5,26.3,0,0,0,0,Precaución,26.4,84.7,1.72,0.64,14.9,-92.27,97
P001,Cacao,Tapachula,2021,Dic,12,83,5.73,51.9,29.3,17.3,155.6,1.57,26,0,0,0,0,Precaución,27.1,80.3,0.44,0.519,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Ene,1,84,5.7,43.3,37,20.5,171.8,1.47,26.5,8,4,6,0,Precaución,27,74.7,0,0.433,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Feb,2,85,5.72,37.6,29.1,16.4,155.7,1.58,27.3,0,0,0,0,Precaución,27.2,68.9,0.88,0.376,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Mar,3,86,5.75,34.8,28.1,17.1,159.3,1.52,28.2,0,0,0,0,Atención,28.2,70.3,0.22,0.348,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Abr,4,87,5.74,42.6,29.2,16.6,155.8,1.51,28.8,0,0,0,0,Precaución,29.3,70.4,0.93,0.426,14.9,-92.27,97
P001,Cacao,Tapachula,2022,May,5,88,5.76,70.2,27.8,16.6,162.2,1.52,28.6,0,0,0,0,Precaución,28.3,78.2,4.59,0.702,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Jun,6,89,5.69,84.4,26.6,16,150.1,1.62,26.9,0,0,0,0,Precaución,27.4,89,7.74,0.844,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Jul,7,90,5.71,79.9,36,16.4,163.5,1.57,26.5,8,0,6,0,Precaución,26.8,86.7,8,0.799,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Ago,8,91,5.74,85,27,16.9,151.7,1.58,26.8,0,0,0,0,Precaución,26.8,86.7,7.79,0.85,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Sep,9,92,5.7,89.8,27.5,15.9,152.5,1.56,26.4,0,0,0,0,Atención,26.9,88.2,9.15,0.898,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Oct,10,93,5.63,80.5,26.6,17.5,163,1.55,26.2,0,0,0,0,Precaución,26.8,86.3,7.62,0.805,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Nov,11,94,5.66,67.5,28.6,16,158.7,1.64,26.6,0,0,0,0,Precaución,26.7,84.2,2.19,0.675,14.9,-92.27,97
P001,Cacao,Tapachula,2022,Dic,12,95,5.59,44.8,27.5,15.3,159.9,1.53,26.5,0,0,0,0,Precaución,26.2,77.3,0.97,0.448,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Ene,1,96,5.84,45.2,35.6,21.5,161.2,1.58,26.7,8,4,6,0.15,Precaución,26.4,76.4,0.29,0.452,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Feb,2,97,5.62,42,27.2,16.4,166,1.63,27.4,0,0,0,0,Precaución,26.8,71.3,0.15,0.42,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Mar,3,98,5.59,34.8,25.6,16,157,1.61,28.4,0,0,0,0,Atención,28.9,70.1,0,0.348,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Abr,4,99,5.58,43.8,29.7,16.9,156.8,1.58,29,0,0,0,0,Precaución,29.5,71,0.86,0.438,14.9,-92.27,97
P001,Cacao,Tapachula,2023,May,5,100,5.64,67.1,26,16.6,160.1,1.6,28.3,0,0,0,0,Precaución,28.5,78.8,4.49,0.671,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Jun,6,101,5.58,80.4,27.6,16.2,157.2,1.67,26.8,0,0,0,0,Precaución,28.3,86.1,7.79,0.804,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Jul,7,102,5.56,83.6,35.5,16.5,167.3,1.61,26.8,8,0,6,0,Precaución,26.7,84.9,7.13,0.836,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Ago,8,103,5.55,81,25.2,15.3,160.9,1.57,26.3,0,0,0,0,Precaución,26.9,83.7,7.67,0.81,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Sep,9,104,5.57,85.1,28.4,17.1,161.3,1.6,26,0,0,0,0,Precaución,26.6,87.8,9.1,0.851,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Oct,10,105,5.6,84.9,26.1,16.3,154.4,1.58,26.3,0,0,0,0,Precaución,26.6,86.8,7.64,0.849,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Nov,11,106,5.57,62.5,27.3,16.4,161.6,1.6,26.3,0,0,0,0,Precaución,27,84.3,1.14,0.625,14.9,-92.27,97
P001,Cacao,Tapachula,2023,Dic,12,107,5.61,53.4,25.7,17,163.5,1.64,26.7,0,0,0,0,Precaución,26.5,74.5,0.98,0.534,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Ene,1,108,5.57,45.3,33.9,20.9,160.3,1.63,26.5,8,4,6,0,Precaución,26.8,74,0.81,0.453,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Feb,2,109,5.54,38.2,28.3,16.9,159.8,1.65,26.9,0,0,0,0,Precaución,27.1,72,0.02,0.382,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Mar,3,110,5.52,32.2,24.9,14.5,160.4,1.63,28.4,0,0,0,0,Atención,29,67.9,0.18,0.322,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Abr,4,111,5.53,38.3,26.5,15,150.5,1.61,28.7,0,0,0,0,Precaución,29.2,71.2,0.97,0.383,14.9,-92.27,97
P001,Cacao,Tapachula,2024,May,5,112,5.51,68.2,28,16.4,151.3,1.68,28,0,0,0,0,Precaución,28.3,76.8,3.84,0.682,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Jun,6,113,5.49,86.9,27.7,14.9,162,1.65,27.3,0,0,0,0,Atención,27.5,84.3,8.41,0.869,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Jul,7,114,5.45,81.9,34.9,15.3,170.2,1.58,26.9,8,0,6,0,Atención,26.1,89.7,7.63,0.819,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Ago,8,115,5.51,85.7,26.5,16.1,160.4,1.61,26.6,0,0,0,0,Precaución,27,85.8,7.21,0.857,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Sep,9,116,5.5,87,27.1,15.7,153,1.7,26.2,0,0,0,0,Precaución,26.7,86.9,9.04,0.87,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Oct,10,117,5.53,75.3,27.1,15.1,156.7,1.68,27.2,0,0,0,0,Precaución,27,83,7.62,0.753,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Nov,11,118,5.47,66.7,28.9,15.1,160.9,1.68,26.4,0,0,0,0,Atención,26.4,82.9,1.96,0.667,14.9,-92.27,97
P001,Cacao,Tapachula,2024,Dic,12,119,5.47,49,28.4,15.9,157.8,1.68,26.3,0,0,0,0,Atención,26.5,73.2,0.8,0.49,14.9,-92.27,97
P002,Café,Tapachula,2015,Ene,1,0,5.97,45.6,25.5,17.4,128.4,0.94,25.9,0,0,0,0,Precaución,26.5,70.2,0.99,0.456,14.9,-92.27,97
P002,Café,Tapachula,2015,Feb,2,1,5.93,39.3,25.6,16.4,126.7,1.06,27.4,0,0,0,0,Precaución,26.9,71.4,0,0.393,14.9,-92.27,97
P002,Café,Tapachula,2015,Mar,3,2,5.91,37.8,24.4,16.2,133.8,1.01,28.2,0,0,0,0,Precaución,28,68.6,0.77,0.378,14.9,-92.27,97
P002,Café,Tapachula,2015,Abr,4,3,6.01,41.4,22.9,15.4,130,1.08,28.4,0,0,0,0,Óptimo,28.7,73.1,1,0.414,14.9,-92.27,97
P002,Café,Tapachula,2015,May,5,4,5.89,65.4,24.2,16,130.4,1,28.2,0,0,0,0,Precaución,28.3,78.6,4.79,0.654,14.9,-92.27,97
P002,Café,Tapachula,2015,Jun,6,5,5.95,82.9,24.5,16.9,125.2,1.09,26.7,0,0,0,0,Precaución,27,85.5,7.43,0.829,14.9,-92.27,97
P002,Café,Tapachula,2015,Jul,7,6,5.95,83.3,29.8,16.1,133.6,1.04,26.3,6,0,5,0,Precaución,26.7,85.9,7.15,0.833,14.9,-92.27,97
P002,Café,Tapachula,2015,Ago,8,7,5.97,86.4,24.7,15.6,122.2,1,26.7,0,0,0,0,Precaución,26.3,90,7.33,0.864,14.9,-92.27,97
P002,Café,Tapachula,2015,Sep,9,8,5.94,86,24.1,15.2,129.4,1.01,26.2,0,0,0,0,Precaución,26.5,87,8.9,0.86,14.9,-92.27,97
P002,Café,Tapachula,2015,Oct,10,9,5.9,83.8,22.6,15.1,132.8,1.01,26.6,0,0,0,0,Precaución,26.2,82.4,8.41,0.838,14.9,-92.27,97
P002,Café,Tapachula,2015,Nov,11,10,5.87,65,22.4,16.1,130.5,1.07,26,0,0,0,0,Precaución,26.6,84.3,3.02,0.65,14.9,-92.27,97
P002,Café,Tapachula,2015,Dic,12,11,5.9,43.2,22.7,15.2,126.9,0.98,25.9,0,0,0,0,Precaución,26.1,76.6,0.86,0.432,14.9,-92.27,97
P002,Café,Tapachula,2016,Ene,1,12,5.92,38.5,29.7,19.7,131.6,1.08,26,6,3,5,0,Precaución,26.3,73.4,0,0.385,14.9,-92.27,97
P002,Café,Tapachula,2016,Feb,2,13,5.87,42.7,24.2,16.5,128.7,1.04,27,0,0,0,0,Precaución,27.3,73.2,0.43,0.427,14.9,-92.27,97
P002,Café,Tapachula,2016,Mar,3,14,5.9,39,22.2,15.1,126.8,1.05,28.1,0,0,0,0,Precaución,28.4,70.8,0,0.39,14.9,-92.27,97
P002,Café,Tapachula,2016,Abr,4,15,5.82,38.6,22.6,17,129,1.07,28.9,0,0,0,0,Precaución,29.3,71.8,0.66,0.386,14.9,-92.27,97
P002,Café,Tapachula,2016,May,5,16,5.87,72.6,24.6,14.9,126.7,1.03,28.1,0,0,0,0,Precaución,28.9,82.7,3.56,0.726,14.9,-92.27,97
P002,Café,Tapachula,2016,Jun,6,17,5.88,85.2,24.1,16.4,125.1,1.15,26.9,0,0,0,0,Precaución,27.1,88.6,8.21,0.852,14.9,-92.27,97
P002,Café,Tapachula,2016,Jul,7,18,5.85,85,29.2,15.8,129,1.04,26.7,6,0,5,0,Precaución,27.1,84.2,7.37,0.85,14.9,-92.27,97
P002,Café,Tapachula,2016,Ago,8,19,5.84,88.2,24.3,15.8,124,1.08,26.5,0,0,0,0,Precaución,26.5,85.7,7.7,0.882,14.9,-92.27,97
P002,Café,Tapachula,2016,Sep,9,20,5.93,88.7,20.5,14.4,118.6,1.08,26.3,0,0,0,0,Atención,25.8,84.1,8.71,0.887,14.9,-92.27,97
P002,Café,Tapachula,2016,Oct,10,21,5.82,81,24,15.6,131.7,1.08,26.2,0,0,0,0,Precaución,26.9,89.7,7.26,0.81,14.9,-92.27,97
P002,Café,Tapachula,2016,Nov,11,22,5.81,63.7,24.5,16.2,130.5,1.03,26,0,0,0,0,Precaución,26.7,79.6,1.99,0.637,14.9,-92.27,97
P002,Café,Tapachula,2016,Dic,12,23,5.84,52.5,23.2,15.7,129.1,1.17,27.1,0,0,0,0,Precaución,26.5,75.9,0.69,0.525,14.9,-92.27,97
P002,Café,Tapachula,2017,Ene,1,24,5.85,44.3,30.6,18.6,130.6,1.05,25.8,6,3,5,0,Precaución,26.3,71.7,0.39,0.443,14.9,-92.27,97
P002,Café,Tapachula,2017,Feb,2,25,5.81,35.4,24.4,16,129.6,1.03,27.1,0,0,0,0,Precaución,26.3,67.7,0,0.354,14.9,-92.27,97
P002,Café,Tapachula,2017,Mar,3,26,5.82,38.3,23.1,15.9,127.4,1.15,27.9,0,0,0,0,Precaución,28.9,67,0.6,0.383,14.9,-92.27,97
P002,Café,Tapachula,2017,Abr,4,27,5.81,39.2,22.4,15.4,126.9,1.09,28.1,0,0,0,0,Precaución,29,70.3,0.91,0.392,14.9,-92.27,97
